"match_id,inning,batting_team,bowling_team,over,ball,striker,bowler,non_striker,runs_by_batter,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,5.0,R Dravid,AB Dinda,W Jaffer,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,6.0,W Jaffer,AB Dinda,R Dravid,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,7.0,W Jaffer,AB Dinda,R Dravid,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,1.0,R Dravid,I Sharma,W Jaffer,0.0,0.0,0.0,None,1,R Dravid,bowled,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,2.0,V Kohli,I Sharma,W Jaffer,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,3.0,V Kohli,I Sharma,W Jaffer,0.0,4.0,4.0,legbyes,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,4.0,V Kohli,I Sharma,W Jaffer,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,5.0,W Jaffer,I Sharma,V Kohli,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,1.0,6.0,W Jaffer,I Sharma,V Kohli,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,1.0,V Kohli,AB Dinda,W Jaffer,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,2.0,V Kohli,AB Dinda,W Jaffer,0.0,0.0,0.0,None,1,V Kohli,bowled,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,3.0,JH Kallis,AB Dinda,W Jaffer,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,4.0,W Jaffer,AB Dinda,JH Kallis,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,5.0,W Jaffer,AB Dinda,JH Kallis,0.0,1.0,1.0,wides,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,6.0,W Jaffer,AB Dinda,JH Kallis,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,2.0,7.0,W Jaffer,AB Dinda,JH Kallis,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,3.0,1.0,W Jaffer,I Sharma,JH Kallis,2.0,0.0,2.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,3.0,2.0,W Jaffer,I Sharma,JH Kallis,1.0,0.0,1.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,3.0,3.0,JH Kallis,I Sharma,W Jaffer,0.0,0.0,0.0,None,0,None,None,None"
"335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,3.0,4.0,JH Kallis,I Sharma,W Jaffer,0.0,1.0,1.0,legbyes,0,None,None,None"
